,imgnames,latitude,longtitude,content,language,district
IMG_8240,IMG_8240.JPG,45.244525,19.84539722,Neighborhood Identity,SE,Boško Buha
IMG_8240,IMG_8240.JPG,45.244525,19.84539722,Culture&History,SE,Boško Buha
IMG_8275,IMG_8275.JPG,45.24019167,19.83755278,Neighborhood Identity,SE,Liman 3
IMG_8275,IMG_8275.JPG,45.24019167,19.83755278,Address to Person,SE,Liman 3
IMG_8276,IMG_8276.JPG,45.24026389,19.83775,Commerce,"SE, EN",Liman 3
IMG_8277,IMG_8277.JPG,45.24008611,19.83755,Nationalist,SE,Liman 3
IMG_8277,IMG_8277.JPG,45.24008611,19.83755,Politics,SE,Liman 3
IMG_8277,IMG_8277.JPG,45.24008611,19.83755,Neighborhood Identity,SE,Liman 3
Piši čirilicom,Piši čirilicom.JPG,45.23726944,19.83727778,Nationalist,SE,Liman 3
Piši čirilicom,Piši čirilicom.JPG,45.23726944,19.83727778,Politics,SE,Liman 3
Piši čirilicom,Piši čirilicom.JPG,45.23726944,19.83727778,Neighborhood Identity,SE,Liman 3
