imgname,longitude,latitude,Number of signs on image,Number of texts per sign,language total,both script systems,content
minus-6309.png,19.8285068,45.23728009,1,1,SE,1,Neighborhood Identity
minus-6296.png,19.84206378,45.2477671,1,1,SE,1,Sport
minus-6282.png,19.84139482,45.24717355,1,1,SE,1,Sport
minus-6282.png,19.84139482,45.24717355,1,1,SE,1,Politics
minus-6282.png,19.84139482,45.24717355,1,1,SE,1,Neighborhood Identity
minus-5971.png,19.83830209,45.24061921,1,1,SE,1,Sport
minus-5971.png,19.83830209,45.24061921,1,1,SE,1,Politics
minus-5971.png,19.83830209,45.24061921,1,1,SE,1,Neighborhood Identity
minus-5880.png,19.83785015,45.24492526,not readable,,#N/A,,#N/A
minus-5426.png,19.84365105,45.23651594,1,1,SE,0,Sport
minus-5369.png,19.84734523,45.24267561,,1,EN,1,others
minus-5369.png,19.84734523,45.24267561,,1,EN,1,Address to Person
minus-5041.png,19.8311467,45.23622262,1,1,EN,0,Neighborhood Identity
minus-4894.png,19.84658853,45.2444963,1,1,EN,0,Sport
minus-4894.png,19.84658853,45.2444963,1,1,EN,0,Neighborhood Identity
minus-4894.png,19.84658853,45.2444963,1,1,EN,0,Address to Person
minus-4743.png,19.83869643,45.24216691,not readable,,SE,,#N/A
minus-4702.png,19.83570114,45.24027224,1,1,SE,0,Sport
minus-4702.png,19.83570114,45.24027224,1,1,SE,0,Neighborhood Identity
minus-3799.png,19.84615476,45.24852509,1,1,SE,1,Sport
minus-3686.png,19.83665478,45.23828824,not readable,,EN,,#N/A
minus-3588.png,19.83370046,45.24109874,not readable,,EN,,#N/A
minus-3560.png,19.83980768,45.24570474,not readable,,SE,,#N/A
minus-3557.png,19.83971698,45.24587356,not readable,,SE,,#N/A
minus-3415.png,19.84477389,45.23850759,1,1,SE,1,Sport
minus-3415.png,19.84477389,45.23850759,1,1,SE,1,Neighborhood Identity
minus-3415.png,19.84477389,45.23850759,1,1,SE,1,Neighborhood Identity
minus-3415.png,19.84477389,45.23850759,1,1,SE,1,Nationalist
minus-3381.png,19.84696939,45.24683958,1,1,SE,0,Sport
minus-3381.png,19.84696939,45.24683958,1,1,SE,0,Nationalist
minus-3315.png,19.83867638,45.24257619,1,1,SE,1,Neighborhood Identity
minus-3315.png,19.83867638,45.24257619,1,1,SE,1,Sport
